Mfg,Model,Year,MfgDimNames,Category,SeatTube,TopTube_hz,HeadTubeAngle,SeatTubeAngle,Wheelbase,Chainstay,BBdrop,StandOverHeight,Reach,Stack,ForkRake
stevens,super-prestige,2020,52,cyclocross,551,532,71.0,74.5,1012,425,62.0,786,383,531,45
stevens,super-prestige,2020,54,cyclocross,581,541,71.5,74.0,1012,425,65.0,810,379,559,45
stevens,super-prestige,2020,56,cyclocross,596,553,72.0,73.0,1010,425,65.0,824,379,571,45
stevens,super-prestige,2020,58,cyclocross,616,572,72.0,73.0,1026,425,70.0,834,391,590,45
stevens,super-prestige,2020,60,cyclocross,642,586,72.0,73.0,1042,425,70.0,852,398,613,45
stevens,vapor,2020,50,cyclocross,549,499,70.5,75.5,1006,430,62.0,756,371,532,45
stevens,vapor,2020,52,cyclocross,569,527,71.0,74.5,1010,430,62.0,779,375,548,45
stevens,vapor,2020,54,cyclocross,591,539,71.5,74.0,1011,430,65.0,795,376,567,45
stevens,vapor,2020,56,cyclocross,616,551,72.0,73.0,1007,430,70.0,808,372,588,45
stevens,vapor,2020,58,cyclocross,630,572,72.0,73.0,1027,430,70.0,825,388,603,45
stevens,vapor,2020,60,cyclocross,645,588,72.0,73.0,1043,430,70.0,843,399,617,45
stevens,vapor,2020,62,cyclocross,660,600,72.0,73.0,1055,430,70.0,860,407,631,45
stevens,prestige,2020,47,cyclocross,531,485,70.0,76.5,995,430,62.0,746,361,516,45
stevens,prestige,2020,50,cyclocross,549,499,70.5,75.5,1006,430,62.0,756,371,532,45
stevens,prestige,2020,52,cyclocross,569,527,71.0,74.5,1010,430,62.0,779,375,548,45
stevens,prestige,2020,54,cyclocross,591,539,71.5,74.0,1011,430,65.0,795,376,567,45
stevens,prestige,2020,56,cyclocross,616,551,72.0,73.0,1007,430,70.0,808,372,588,45
stevens,prestige,2020,58,cyclocross,630,572,72.0,73.0,1027,430,70.0,825,388,603,45
stevens,prestige,2020,60,cyclocross,645,588,72.0,73.0,1043,430,70.0,843,399,617,45
stevens,prestige,2020,62,cyclocross,660,600,72.0,73.0,1055,430,70.0,860,407,631,45
stevens,super-prestige,2019,50,cyclocross,536,510,70.5,75.5,1005,425,62.0,760,375,519,45
stevens,super-prestige,2019,52,cyclocross,551,532,71.0,74.5,1012,425,62.0,786,383,531,45
stevens,super-prestige,2019,54,cyclocross,581,541,71.5,74.0,1012,425,65.0,810,379,559,45
stevens,super-prestige,2019,56,cyclocross,596,553,72.0,73.0,1010,425,65.0,824,379,571,45
stevens,super-prestige,2019,58,cyclocross,616,572,72.0,73.0,1026,425,70.0,834,391,590,45
stevens,super-prestige,2019,60,cyclocross,642,586,72.0,73.0,1042,425,70.0,852,398,613,45
stevens,vapor,2019,50,cyclocross,549,499,70.5,75.5,1006,430,62.0,756,371,532,45
stevens,vapor,2019,52,cyclocross,569,527,71.0,74.5,1010,430,62.0,779,375,548,45
stevens,vapor,2019,54,cyclocross,591,539,71.5,74.0,1011,430,65.0,795,376,567,45
stevens,vapor,2019,56,cyclocross,616,551,72.0,73.0,1007,430,70.0,808,372,588,45
stevens,vapor,2019,58,cyclocross,630,572,72.0,73.0,1027,430,70.0,825,388,603,45
stevens,vapor,2019,60,cyclocross,645,588,72.0,73.0,1043,430,70.0,843,399,617,45
stevens,vapor,2019,62,cyclocross,660,600,72.0,73.0,1055,430,70.0,860,407,631,45
stevens,prestige,2019,47,cyclocross,531,485,70.0,76.5,995,430,62.0,746,361,516,45
stevens,prestige,2019,50,cyclocross,549,499,70.5,75.5,1006,430,62.0,756,371,532,45
stevens,prestige,2019,52,cyclocross,569,527,71.0,74.5,1010,430,62.0,779,375,548,45
stevens,prestige,2019,54,cyclocross,591,539,71.5,74.0,1011,430,65.0,795,376,567,45
stevens,prestige,2019,56,cyclocross,616,551,72.0,73.0,1007,430,70.0,808,372,588,45
stevens,prestige,2019,58,cyclocross,630,572,72.0,73.0,1027,430,70.0,825,388,603,45
stevens,prestige,2019,60,cyclocross,645,588,72.0,73.0,1043,430,70.0,843,399,617,45
stevens,prestige,2019,62,cyclocross,660,600,72.0,73.0,1055,430,70.0,860,407,631,45
stevens,izoard-pro-disc,2019,50,race,542,525,72.0,74.5,972,406,70.0,740,380,522,43
stevens,izoard-pro-disc,2019,52,race,555,535,72.5,74.0,973,406,70.0,756,382,533,43
stevens,izoard-pro-disc,2019,54,race,570,545,72.5,73.5,978,406,70.0,772,383,546,43
stevens,izoard-pro-disc,2019,56,race,587,560,73.0,73.5,988,406,70.0,790,393,563,43
stevens,izoard-pro-disc,2019,58,race,611,575,73.5,73.0,993,406,70.0,810,397,584,43
stevens,izoard-pro-disc,2019,60,race,631,590,73.5,73.0,1008,406,70.0,830,406,603,43
stevens,izoard-pro-disc,2019,62,race,646,598,73.5,73.0,1016,406,70.0,846,409,618,43
giant,tcx-advanced-pro-2,2023,S,cyclocross,505,530,71.0,73.5,1014,430,60.0,788,525,370,50
giant,tcx-advanced-pro-2,2023,M,cyclocross,525,545,71.5,73.0,1020,430,60.0,807,556,375,50
giant,tcx-advanced-pro-2,2023,ML,cyclocross,545,560,72.0,73.0,1030,430,60.0,826,572,385,50
giant,tcx-advanced-pro-2,2023,L,cyclocross,555,575,72.5,73.0,1040,430,60.0,832,589,395,50
giant,tcx-advanced-pro-2,2023,XL,cyclocross,565,590,72.5,73.0,1055,430,60.0,845,603,406,50
giant,defy-advanced-1,2023,S,endurance,445,530,71.8,74.0,995,420,75.0,760,546,374,50
giant,defy-advanced-1,2023,M,endurance,480,545,72.5,73.5,998,420,75.0,786,567,377,50
giant,defy-advanced-1,2023,ML,endurance,515,560,72.5,73.0,1010,420,70.0,816,586,381,50
giant,defy-advanced-1,2023,L,endurance,535,575,72.5,73.0,1025,420,70.0,835,605,390,50
giant,defy-advanced-1,2023,XL,endurance,565,595,72.5,72.5,1040,420,70.0,856,624,398,50
giant,tcr-advanced-sl,2023,S,race,710,535,72.3,74.0,977,405,69.5,725,528,383,45
giant,tcr-advanced-sl,2023,M,race,740,550,73.0,73.5,980,405,69.5,747,545,388,45
giant,tcr-advanced-sl,2023,ML,race,770,565,73.0,73.0,991,405,67.0,773,562,393,45
giant,tcr-advanced-sl,2023,L,race,800,580,73.0,73.0,1006,405,67.0,800,581,402,45
giant,tcr-advanced-sl,2023,XL,race,830,600,73.0,72.5,1020,405,67.0,816,596,412,45
giant,contend-ar-1,2023,S,endurance,465,535,71.8,74.0,1003,422,80.0,759,559,375,53
giant,contend-ar-1,2023,M,endurance,500,550,72.0,73.5,1011,422,80.0,783,574,380,53
giant,contend-ar-1,2023,ML,endurance,535,565,72.5,73.0,1015,422,80.0,810,595,383,53
giant,contend-ar-1,2023,L,endurance,555,580,72.5,73.0,1031,422,80.0,829,614,392,53
giant,contend-ar-1,2023,XL,endurance,585,595,72.5,73.0,1046,422,80.0,856,638,400,53
giant,revolt-advanced-pro,2023,S,gravel,450,540,70.5,73.5,1020,425,70.0,734,558,375,50
giant,revolt-advanced-pro,2023,M,gravel,470,550,70.5,73.5,1031,425,70.0,752,572,381,50
giant,revolt-advanced-pro,2023,ML,gravel,490,565,71.0,73.0,1036,425,70.0,768,588,385,50
giant,revolt-advanced-pro,2023,L,gravel,510,575,71.0,73.0,1046,425,70.0,786,602,391,50
giant,revolt-advanced-pro,2023,XL,gravel,530,590,71.0,73.0,1062,425,70.0,803,616,402,50
